driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,5/25/2025,3.851,0.936,0.07,1088,TRUE,5/25/2025 0:00,41:05.9
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,5/12/2025,4.874,0.735,0.068,1672,TRUE,5/12/2025 0:00,41:05.9
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,3/5/2022,3.813,0.75,0.033,8286,TRUE,3/5/2022 0:00,41:05.9
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,8/17/2022,3.614,0.743,0.001,7058,TRUE,8/17/2022 0:00,41:05.9
20,Adel Gaber,01262975309,388752057453412,2,night,car,7/6/2019,3.801,0.5,0.036,29662,TRUE,7/6/2019 0:00,41:05.9
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,12/2/2021,3.902,0.801,0.068,14033,TRUE,12/2/2021 0:00,41:05.9
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,7/5/2024,3.873,0.847,0,3554,TRUE,7/5/2024 0:00,41:05.9
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,4/16/2025,4.814,0.872,0.018,1463,TRUE,4/16/2025 0:00,41:05.9
24,Wael Gaber,01165890810,213652133776023,10,night,car,1/17/2019,4.959,0.746,0.005,19743,TRUE,1/17/2019 0:00,41:05.9
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,5/19/2024,4.805,0.812,0.069,4094,TRUE,5/19/2024 0:00,41:05.9
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,11/11/2021,4.696,0.725,0.021,15388,TRUE,11/11/2021 0:00,41:05.9
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,6/24/2022,4.272,0.906,0.074,9895,TRUE,6/24/2022 0:00,41:05.9
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,11/14/2023,4.563,0.858,0.016,6359,TRUE,11/14/2023 0:00,41:05.9
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,5/10/2024,3.522,0.73,0.004,2178,TRUE,5/10/2024 0:00,41:05.9
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,11/3/2021,4.719,0.882,0.003,11529,TRUE,11/3/2021 0:00,41:05.9
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,12/21/2021,3.672,0.818,0.039,4827,TRUE,12/21/2021 0:00,41:05.9
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,10/1/2025,3.724,0.801,0,455,FALSE,10/1/2025 0:00,41:05.9
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,8/17/2020,4.229,0.888,0,8576,TRUE,8/17/2020 0:00,41:05.9
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,7/25/2025,4.452,0.964,0.059,2414,TRUE,7/25/2025 0:00,41:05.9
35,Adel Zaki,01578901438,384350439585692,1,evening,car,6/1/2019,4.395,0.949,0.043,14866,TRUE,6/1/2019 0:00,41:05.9
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,11/21/2022,3.81,0.933,0.02,11549,TRUE,11/21/2022 0:00,41:05.9
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,4/16/2022,3.841,0.824,0.053,6056,TRUE,4/16/2022 0:00,41:05.9
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,8/31/2023,4.08,0.731,0.022,6795,TRUE,8/31/2023 0:00,41:05.9
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,4/11/2020,4.682,0.856,0.063,19489,TRUE,4/11/2020 0:00,41:05.9
40,Bassem Soliman,01571355706,224903427681611,4,night,car,7/26/2019,3.582,0.864,0.005,23180,TRUE,7/26/2019 0:00,41:05.9
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,9/3/2024,4.966,0.87,0.063,2223,TRUE,9/3/2024 0:00,41:05.9
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,3/6/2023,3.738,0.809,0.031,13105,FALSE,3/6/2023 0:00,41:05.9
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,12/18/2023,5,0.929,0.009,3606,TRUE,12/18/2023 0:00,41:05.9
44,Hazem Ali,01563955904,311109579706988,9,night,car,10/30/2024,4.418,0.715,0.014,3290,TRUE,10/30/2024 0:00,41:05.9
45,Adel Shaker,01536480587,315201567379266,18,evening,car,11/15/2022,4.06,0.802,0.061,12249,TRUE,11/15/2022 0:00,41:05.9
46,Hussein Mohamed,01113143613,293389109044875,9,morning,car,11/5/2024,4.792,0.839,0.028,3141,TRUE,11/5/2024 0:00,41:05.9
47,Ziad Farouk,01070228445,373771696802385,11,morning,motorbike,12/22/2022,4.679,0.849,0.078,10520,TRUE,12/22/2022 0:00,41:05.9
48,Walid Shaker,01160689435,256136990639839,17,night,bike,3/11/2022,3.762,0.86,0.06,8744,TRUE,3/11/2022 0:00,41:05.9
49,Karim Mohamed,01520478739,384065322982472,13,night,bike,6/16/2020,4.32,0.819,0.066,21869,TRUE,6/16/2020 0:00,41:05.9
50,Sherif Tawfik,01177885433,228208332229271,17,night,motorbike,9/4/2023,3.676,0.875,0.012,7065,FALSE,9/4/2023 0:00,41:05.9
51,Tarek Ibrahim,01215406577,262278847625879,10,evening,car,3/27/2020,3.985,0.922,0.037,17732,TRUE,3/27/2020 0:00,41:05.9
52,,01015997180,390652962521313,10,night,motorbike,6/25/2024,4.156,0.754,0.025,4371,TRUE,6/25/2024 0:00,41:05.9
53,Ali Ali,01153649791,297930005648454,14,evening,car,1/17/2024,3.851,0.859,0.028,6891,TRUE,1/17/2024 0:00,41:05.9
54,Ashraf Khalil,01285302098,288720926191460,3,morning,car,11/9/2020,4.964,0.725,0.041,21310,FALSE,11/9/2020 0:00,41:05.9
55,Nabil Fathy,01112546591,338964343572718,8,night,car,5/7/2020,4.745,0.918,0.041,9313,TRUE,5/7/2020 0:00,41:05.9
56,Essam Hassan,01165691824,284298036448019,11,evening,motorbike,4/6/2019,3.85,0.913,0.008,9718,TRUE,4/6/2019 0:00,41:05.9
57,Mostafa Mohamed,01092473495,313823300248937,2,evening,bike,7/27/2023,4.124,0.864,0.03,5855,TRUE,7/27/2023 0:00,41:05.9
58,Ziad Ibrahim,01578265991,326196104163438,9,morning,bike,9/11/2025,3.948,0.829,0.048,492,TRUE,9/11/2025 0:00,41:05.9
59,Hany El-Sayed,01184451573,289973599353710,14,evening,motorbike,7/28/2025,3.596,0.842,0.05,1177,TRUE,7/28/2025 0:00,41:05.9
60,Hassan Mostafa,01072364542,310073733342850,2,evening,car,3/23/2025,3.957,0.942,0.017,3344,TRUE,3/23/2025 0:00,41:05.9
61,Hussein El-Din,01050350996,239675784312601,17,evening,car,10/23/2020,4.86,0.771,0.076,19553,TRUE,10/23/2020 0:00,41:05.9
62,Mostafa Mostafa,01212130654,295676016414622,16,morning,car,10/31/2022,4.877,0.945,0.052,9430,TRUE,10/31/2022 0:00,41:05.9
63,Nabil Naguib,01526564560,360378254025343,13,morning,car,11/14/2019,4.739,0.716,0.065,21479,TRUE,11/14/2019 0:00,41:05.9
64,Hussein Mansour,01235704262,296336643516336,10,night,bike,3/23/2019,3.858,0.848,0.08,22477,TRUE,3/23/2019 0:00,41:05.9
65,Samy Tawfik,01524890990,380414138126087,16,morning,car,3/14/2021,4.37,0.759,0.052,15307,TRUE,3/14/2021 0:00,41:05.9
66,Omar El-Din,01180206603,313254202139488,18,night,bike,6/5/2020,3.895,0.941,0.048,17378,TRUE,6/5/2020 0:00,41:05.9
67,Hazem Hassan,01576514912,341601172014199,2,evening,motorbike,7/25/2023,4.89,0.816,0.044,5400,TRUE,7/25/2023 0:00,41:05.9
68,Wael El-Din,01519991216,233146424337663,11,evening,bike,7/13/2021,3.551,0.976,0.048,6408,TRUE,7/13/2021 0:00,41:05.9
69,Fadi Rizk,01155741665,256951816402861,17,morning,motorbike,10/9/2021,4.924,0.913,0.059,14631,TRUE,10/9/2021 0:00,41:05.9
70,Essam Ibrahim,01027117564,217711364321431,10,night,bike,5/17/2019,4.404,0.979,0.007,22168,TRUE,5/17/2019 0:00,41:05.9
71,Amr Naguib,01070855827,397147550220512,4,evening,bike,8/11/2023,4.45,0.919,0.055,3594,TRUE,8/11/2023 0:00,41:05.9
72,Youssef Ibrahim,01186935230,281621317117206,9,evening,bike,10/4/2019,4.093,0.912,0.055,14696,TRUE,10/4/2019 0:00,41:05.9
73,Mohamed Ali,01251766978,276078704966062,10,night,motorbike,10/2/2024,4.042,0.844,0.025,1919,TRUE,10/2/2024 0:00,41:05.9
74,Mohamed Mostafa,01556146216,238200654380095,7,morning,car,4/10/2025,3.972,0.895,0.054,3174,TRUE,4/10/2025 0:00,41:05.9
75,Khaled El-Din,01231780851,279793399773895,8,morning,car,11/28/2025,4.43,0.932,0.06,417,TRUE,11/28/2025 0:00,41:05.9
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,6/28/2023,3.693,0.79,0.019,5111,TRUE,6/28/2023 0:00,41:05.9
77,Mohamed El-Sayed,01233392072,388043195899928,8,morning,bike,12/14/2020,3.784,0.833,0.015,9003,TRUE,12/14/2020 0:00,41:05.9
78,Ali Naguib,01150946121,362021675325262,12,night,car,3/30/2020,3.762,0.892,0.037,21815,TRUE,3/30/2020 0:00,41:05.9
79,Samy Mohamed,01181478283,362672166178123,11,night,bike,6/19/2020,4.092,0.819,0.053,24182,TRUE,6/19/2020 0:00,41:05.9
80,Bassem Abdallah,01226972976,396537850800057,3,morning,motorbike,9/4/2022,4.233,0.896,0.065,10739,TRUE,9/4/2022 0:00,41:05.9
81,Sherif Ahmed,01573586743,366429776512669,2,morning,motorbike,11/22/2024,3.792,0.873,0.019,4271,TRUE,11/22/2024 0:00,41:05.9
82,Wael Naguib,01028029509,272557465887834,17,evening,car,3/13/2023,3.898,0.73,0,7492,TRUE,3/13/2023 0:00,41:05.9
83,Karim Saleh,01034100904,347380104499221,3,evening,motorbike,7/22/2022,4.896,0.901,0.023,9872,FALSE,7/22/2022 0:00,41:05.9
84,Mostafa Mostafa,01236393422,123,9,evening,bike,1/15/2023,4.585,0.827,0.059,9841,TRUE,1/15/2023 0:00,41:05.9
85,,01256524207,367105652444853,1,evening,car,12/5/2021,4.507,0.845,0.074,18953,TRUE,12/5/2021 0:00,41:05.9
86,Ashraf Zaki,01571928212,322085144252220,11,morning,bike,10/13/2024,4.143,0.886,0.073,3195,TRUE,10/13/2024 0:00,41:05.9
87,Ahmed Farouk,01077082048,341732677908267,14,evening,bike,6/9/2020,4.494,0.9,0.037,20081,TRUE,6/9/2020 0:00,41:05.9
88,Ahmed El-Din,01286261289,363669826170690,7,evening,bike,9/21/2020,3.636,0.96,0.03,13341,FALSE,9/21/2020 0:00,41:05.9
89,Hazem Abdel-Rahman,01513602203,219780495226072,13,evening,bike,3/14/2025,3.793,0.836,0.025,2444,TRUE,3/14/2025 0:00,41:05.9
90,Ahmed Ahmed,01027332564,364743948489622,7,morning,motorbike,8/10/2023,4.773,0.916,0.024,9545,TRUE,8/10/2023 0:00,41:05.9
91,Essam Abdel-Rahman,01029151794,395123671548905,8,night,car,2/23/2024,3.982,0.75,0.048,5190,TRUE,2/23/2024 0:00,41:05.9
92,Omar Abdel-Rahman,01262491260,245061600675276,6,night,car,2/13/2024,4.551,0.919,0.034,6644,TRUE,2/13/2024 0:00,41:05.9
93,Amr Tawfik,01299477179,267881098793914,18,morning,bike,10/8/2020,4.977,0.837,0.009,9754,TRUE,10/8/2020 0:00,41:05.9
94,Sherif Ahmed,01095747226,358362968803655,13,morning,motorbike,7/2/2019,4.093,0.745,0.005,12942,TRUE,7/2/2019 0:00,41:05.9
95,Ashraf Mansour,01168750274,234005265281343,1,night,motorbike,12/5/2019,3.663,0.822,0.027,16697,TRUE,12/5/2019 0:00,41:05.9
96,Nabil El-Sayed,01114623108,264971727915324,10,evening,car,12/10/2023,3.574,0.766,0.003,8281,FALSE,12/10/2023 0:00,41:05.9
97,Tarek Mostafa,,223597360881631,6,night,bike,9/24/2023,3.739,0.817,0.034,3652,TRUE,9/24/2023 0:00,41:05.9
98,Hussein Shaker,01041193292,260182852660439,11,morning,bike,6/7/2023,3.49,0.973,0.05,3296,TRUE,6/7/2023 0:00,41:05.9
99,Ramy Khalil,01165176483,394283439830648,16,morning,car,6/29/2019,4.559,0.851,0.066,26407,TRUE,6/29/2019 0:00,41:05.9
100,Youssef Shaker,01154566533,219502538392982,11,morning,motorbike,5/11/2023,4.43,0.94,0.05,6968,TRUE,5/11/2023 0:00,41:05.9
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,6/28/2023,3.713,0.798,0.025,5111,TRUE,6/28/2023 0:00,41:05.9
